,Cluster,cluster_total_incidents,cluster_serious_crimes,avg_lat,avg_lon,cluster_scrimes_percentage
0,0,1819,166,41.706081318434855,-87.68592781543245,9.125893347993403
1,1,5905,520,41.977040755023005,-87.77215750384056,8.806096528365792
2,2,7186,919,41.69876706188743,-87.58011967809156,12.788755914277763
3,3,4227,433,41.82677461287902,-87.6381480280342,10.243671634729122
4,4,3398,285,41.791910577249666,-87.74084844669633,8.387286639199528
